"Country","avg_daily_smokers","avg_total_smokers","avg_total_female_smokers","avg_total_male_smokers","Population","Code","Year","Continent"
"Kenya",11,1632076,114487,1517589,53771300,"KEN",2015,"Africa"
"Kiribati",10,22537,8211,14326,128874,"KIR",2015,"Oceania"
"Kuwait",25,340425,17272,323154,4270563,"KWT",2015,"Asia"
"Kyrgyzstan",20,587200,31661,555539,6524191,"KGZ",2015,"Asia"
"Laos",16,893962,168478,725485,7275556,"LAO",2015,"Asia"
"Latvia",20,585304,174001,411304,1886202,"LVA",2015,"Europe"
"Lebanon",25,766501,303495,463007,6825442,"LBN",2015,"Asia"
"Lesotho",25,199165,5517,193648,2142252,"LSO",2015,"Africa"
"Liberia",11,107785,8932,98854,5057677,"LBR",2015,"Africa"
"Libya",33,385446,19044,366403,6871287,"LBY",2015,"Africa"
"Lithuania",16,650041,153320,496722,2722291,"LTU",2015,"Europe"
"Luxembourg",20,98552,42365,56188,625976,"LUX",2015,"Europe"
"Macedonia",22,569599,205524,364075,2065000,NA,NA,NA
"Madagascar",5,1516607,189117,1327490,27691019,"MDG",2015,"Africa"
"Malawi",13,671316,84261,587055,19129955,"MWI",2015,"Africa"
"Malaysia",19,2993560,111825,2881735,32365998,"MYS",2015,"Asia"
"Maldives",27,28798,5296,23502,540542,"MDV",2015,"Asia"
"Mali",8,539083,79912,459171,20250834,"MLI",2015,"Africa"
"Malta",39,78713,31006,47707,441539,"MLT",2015,"Europe"
"Marshall Islands",21,5526,685,4842,42050,"MHL",2015,"Oceania"
"Mauritania",27,162085,23871,138214,4649660,"MRT",2015,"Africa"
"Mauritius",23,158911,12192,146719,1271767,"MUS",2015,"Africa"
"Mexico",13,10327207,2742088,7585120,128932753,"MEX",2015,"North America"
"Micronesia",22,14433,3028,11406,113131,NA,NA,NA
"Moldova",28,695185,82053,613133,4033963,"MDA",2015,"Europe"
"Mongolia",13,334746,37110,297636,3278292,"MNG",2015,"Asia"
"Montenegro",24,127912,46385,81527,628062,"MNE",2015,"Europe"
"Morocco",18,2348093,59257,2288837,36910558,"MAR",2015,"Africa"
"Mozambique",4,1092013,176552,915462,31255435,"MOZ",2015,"Africa"
"Myanmar",23,6017532,942279,5075253,53800000,"MMR",2015,"Asia"
"Namibia",7,158465,47935,110531,2540916,"NAM",2015,"Africa"
"Nepal",7,4029588,1298340,2731248,29136808,"NPL",2015,"Asia"
"Netherlands",13,3229710,1479583,1750127,17134873,"NLD",2015,"Europe"
"New Zealand",20,689815,344101,345715,4822233,"NZL",2015,"Oceania"
"Nicaragua",17,320093,72946,247148,6624554,"NIC",2015,"North America"
"Niger",9,274382,54262,220121,24206636,"NER",2015,"Africa"
"Nigeria",11,4160939,685735,3475204,206139587,"NGA",2015,"Africa"
"North Korea",16,3712143,248875,3463269,25970000,"PRK",2015,"Asia"
"Norway",8,999356,475351,524006,5421242,"NOR",2015,"Europe"
"Oman",39,118004,4582,113423,5106622,"OMN",2015,"Asia"
"Pakistan",17,13913249,1907325,12005925,220892331,"PAK",2015,"Asia"
"Palestine",12,355073,22161,332913,4923000,"PSE",2015,"Asia"
"Panama",23,171886,32289,139598,4314768,"PAN",2015,"North America"
"Papua New Guinea",16,1123297,310009,813289,8947027,"PNG",2015,"Oceania"
"Paraguay",23,431840,94767,337073,7132530,"PRY",2015,"South America"
"Peru",8,1652348,432354,1219995,32971846,"PER",2015,"South America"
"Philippines",19,11358079,1759692,9598387,109581085,"PHL",2015,"Asia"
"Poland",23,9993868,3875657,6118212,37846605,"POL",2015,"Europe"
